split,label,label_name,utterance,speaker,sentiment,dialogue_id,utterance_id,season,episode,start_time,end_time
train,0,neutral,Which part exactly?,Joey,neutral,6,3,8,22,"0:12:31,655","0:12:33,657"
train,0,neutral,The whole thing! Can we go?,Chandler,neutral,6,4,8,22,"0:12:33,657","0:12:36,243"
train,3,anger,"Oh no-no-no, give me some specifics.",Joey,negative,6,5,8,22,"00:12:36,368","00:12:38,746"
train,1,joy,"I love the specifics, the specifics were the best part!",Chandler,positive,6,6,8,22,"00:12:38,954","00:12:43,000"
train,0,neutral,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,6,7,8,22,"00:12:43,209","00:12:48,255"
train,5,surprise,I was surprised to see a kangaroo in a World War I epic.,Chandler,negative,6,8,8,22,"00:12:49,298","00:12:54,929"
train,3,anger,You fell asleep!!,Joey,negative,6,9,8,22,"00:12:55,930","00:12:56,931"
train,3,anger,There was no kangaroo!,Joey,negative,6,10,8,22,"0:12:58,432","0:12:59,809"
train,3,anger,They didn’t take any of my suggestions!,Joey,negative,6,11,8,22,"0:12:59,809","0:13:03,196"
train,0,neutral,That’s for coming buddy.,Joey,neutral,6,12,8,22,"0:13:05,940","0:13:07,242"
train,0,neutral,I’ll see you later.,Joey,neutral,6,13,8,22,"0:13:07,242","0:13:08,202"
train,2,sadness,Don’t go!,Chandler,negative,6,14,8,22,"0:13:08,202","0:13:08,804"
train,2,sadness,I’m sorry.,Chandler,negative,6,15,8,22,"0:13:08,804","0:13:09,526"
train,2,sadness,I’m so sorry!,Chandler,negative,6,16,8,22,"0:13:09,526","0:13:10,832"
train,5,surprise,Look!,Chandler,negative,6,17,8,22,"0:13:10,945","0:13:11,407"
train,3,anger,This guy fell asleep!,Chandler,negative,6,18,8,22,"0:13:11,407","0:13:12,589"
train,3,anger,He fell asleep too!,Chandler,negative,6,19,8,22,"0:13:12,589","0:13:13,215"
train,3,anger,Be mad at him!,Chandler,negative,6,20,8,22,"0:13:13,215","0:13:14,108"
train,3,anger,"Or, call an ambulance.",Chandler,negative,6,21,8,22,"00:13:16,367","00:13:18,244"
train,0,neutral,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,7,0,6,9,"00:12:51,020","00:12:53,897"
train,3,anger,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",Ross,negative,7,1,6,9,"00:12:54,106","00:12:58,193"
train,0,neutral,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,8,0,6,23,"00:19:17,865","00:19:21,951"
train,0,neutral,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,8,1,6,23,"00:19:17,865","00:19:25,204"
train,0,neutral,"Okay, that’s enough honey!",Chandler,neutral,8,2,6,23,"00:19:25,372","00:19:26,706"
train,0,neutral,I don’t know. Let me see the ring.,Customer,neutral,8,3,6,23,"00:19:28,375","00:19:34,964"
train,1,joy,"Great! Okay, here.",Chandler,positive,8,4,6,23,"00:19:32,129","00:19:34,964"
train,0,neutral,All right.,Customer,neutral,8,5,6,23,"0:19:37,342","0:19:39,934"
train,1,joy,Thank you. Thank you. Thank you! And,Chandler,positive,8,6,6,23,"0:19:39,934","0:19:40,074"
train,0,neutral,What've you been up to?,Chandler,neutral,9,0,2,5,"00:01:51,903","00:01:54,738"
train,0,neutral,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,9,1,2,5,"00:01:54,948","00:02:01,203"
train,0,neutral,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,9,2,2,5,"00:02:01,621","00:02:07,459"
train,1,joy,Can you hold on a moment? I have another call. I love her.,Chandler,positive,9,3,2,5,"00:02:10,547","00:02:14,758"
train,0,neutral,I know.,Ross,neutral,9,4,2,5,"00:02:13,091","00:02:14,758"
train,0,neutral,I'm back.,Chandler,neutral,9,5,2,5,"0:02:16,261","0:02:16,903"
train,0,neutral,"So, are we gonna get together or what?",Jade,neutral,9,6,2,5,"0:02:16,903","0:02:19,185"
train,0,neutral,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,9,7,2,5,"00:02:19,347","00:02:25,561"
train,0,neutral,"Great, I'll see you then.",Jade,neutral,9,8,2,5,"00:02:25,770","00:02:28,647"
train,1,joy,Ok. Ok. Having a phone has finally paid off.,Chandler,positive,9,9,2,5,"00:02:32,318","00:02:34,528"
train,0,neutral,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,9,10,2,5,"00:02:36,823","00:02:43,620"
train,0,neutral,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,9,11,2,5,"00:02:47,375","00:02:52,337"
train,6,disgust,Oh my god. You are pure evil.,Ross,negative,9,12,2,5,"00:02:52,547","00:02:55,299"
train,3,anger,"Ok, pure evil , horny and alone . I've done this",Chandler,negative,9,13,2,5,"00:02:56,634","00:03:05,058"
train,3,anger,Nobody!,Phoebe,negative,10,0,5,10,"0:11:57,091","0:11:58,551"
train,3,anger,Nobody respects the bucket!,Phoebe,negative,10,1,5,10,"0:11:58,551","0:11:59,947"
train,3,anger,You wouldn't believe what people put in here!,Phoebe,negative,10,2,5,10,"00:12:00,553","00:12:02,721"
train,3,anger,Look!,Phoebe,negative,10,3,5,10,"00:12:02,888","00:12:04,597"
train,3,anger,"Okay, does this look like a garbage can to you?",Phoebe,negative,10,4,5,10,"00:12:02,888","00:12:07,016"
train,0,neutral,No.,Monica,neutral,10,5,5,10,"00:12:04,765","00:12:07,016"
train,0,neutral,This is my wedding.,Ross,neutral,11,0,4,23,"00:03:10,815","00:03:12,024"
train,3,anger,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",Monica,negative,11,1,4,23,"00:03:13,318","00:03:16,737"
train,0,neutral,Fine. You’ll-you’ll watch it on video when we get back.,Ross,neutral,11,2,4,23,"00:03:18,781","00:03:21,491"
train,1,joy,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,positive,11,3,4,23,"00:03:22,869","00:03:25,704"
train,0,neutral,Thank you.,Phoebe,neutral,11,4,4,23,"0:03:27,790","0:03:28,791"
train,0,neutral,Thank you.,Phoebe,neutral,11,5,4,23,"0:03:28,791","0:03:28,931"
train,1,joy,"All right, let’s go! Bye, Pheebs!",Ross,positive,11,6,4,23,"00:03:32,503","00:03:34,463"
train,1,joy,"Bye, Pheebs!",Joey,positive,11,7,4,23,"00:03:34,631","00:03:36,340"
train,1,joy,London baby!!,Joey,positive,11,8,4,23,"00:03:40,803","00:03:42,554"
train,1,joy,"Oh, do you need a hug? You don’t have to bring me anything!",Phoebe,positive,11,9,4,23,"00:03:44,849","00:03:51,563"
train,0,neutral,Hey!,Chandler,neutral,12,0,6,4,"00:09:47,295","00:09:49,045"
train,1,joy,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,Joey,positive,12,1,6,4,"00:09:47,295","00:09:56,177"
train,6,disgust,"That’s great, but shouldn’t you be on the toilet right now?",Chandler,negative,12,2,6,4,"00:09:57,346","00:10:00,890"
train,5,surprise,What?!,Joey,negative,12,3,6,4,"0:10:04,312","0:10:05,647"
train,6,disgust,What’s wrong with you?,Chandler,negative,12,4,6,4,"0:10:05,647","0:10:06,929"
train,0,neutral,Nothing!,Joey,neutral,12,5,6,4,"00:10:07,023","00:10:08,023"
train,4,fear,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",Joey,negative,12,6,6,4,"00:10:08,190","00:10:18,575"
train,0,neutral,"But um, I don’t think it’s anything serious.",Joey,neutral,12,7,6,4,"00:10:18,743","00:10:21,536"
train,5,surprise,This sounds like a hernia. You have to—you-you go to the doctor!,Chandler,negative,12,8,6,4,"00:10:21,704","00:10:24,706"
train,4,fear,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",Joey,negative,12,9,6,4,"00:10:24,874","00:10:31,463"
train,6,disgust,That’s a hernia.,Chandler,negative,12,10,6,4,"00:10:34,842","00:10:36,009"
train,3,anger,Why did I have to start working out again? Damn you 15s!,Joey,negative,12,11,6,4,"00:10:36,177","00:10:41,556"
train,1,joy,I love your place! Where is this guy from?,Mona,positive,13,0,8,8,"00:10:36,844","00:10:40,930"
train,0,neutral,Uh that’s an eighteenth century Indian artifact from Calcutta.,Ross,neutral,13,1,8,8,"00:10:41,098","00:10:50,899"
train,5,surprise,"Oh wow! So, you’re more than just dinosaurs.",Mona,positive,13,2,8,8,"00:10:44,894","00:10:50,899"
train,0,neutral,So much more.,Ross,neutral,13,3,8,8,"00:10:51,567","00:10:53,485"
train,0,neutral,"Well, well to sum up, we’re having fun, you look young.",Ross,neutral,14,0,8,11,"00:13:42,112","00:13:53,456"
train,0,neutral,Okay,Mona,neutral,14,1,8,11,"00:13:57,253","00:14:00,171"
train,0,neutral,But that’s not enough. So… So…here’s a key to my apartment.,Ross,neutral,14,2,8,11,"00:13:57,253","00:14:06,135"
train,5,surprise,Really?!,Mona,positive,14,3,8,11,"0:14:12,184","0:14:14,986"
train,0,neutral,Really.,Ross,neutral,14,4,8,11,"0:14:14,986","0:14:15,320"
train,0,neutral,You don’t think this is too fast.,Mona,neutral,14,5,8,11,"00:14:16,897","00:14:20,316"
train,3,anger,Get Out!,Ross,negative,15,0,9,23,"00:42:09,652","00:42:13,488"
train,0,neutral,"Ross, can I talk to you for a minute?",Charlie,neutral,15,1,9,23,"00:42:15,032","00:42:16,908"
train,0,neutral,"Yes, please! So, what's going on?",Ross,neutral,15,2,9,23,"00:42:17,117","00:42:23,998"
train,2,sadness,"Uh, well... Joey and I broke up.",Charlie,negative,15,3,9,23,"00:42:26,126","00:42:29,754"
train,5,surprise,"Oh my God, wh-what happened?",Ross,negative,15,4,9,23,"00:42:30,464","00:42:35,885"
train,2,sadness,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,negative,15,5,9,23,"00:42:36,053","00:42:44,561"
train,3,anger,I knew that was him!,Ross,negative,15,6,9,23,"00:42:42,059","00:42:44,561"
train,2,sadness,"Anyway I just, uh, I think it's for the best.",Charlie,negative,15,7,9,23,"00:42:46,313","00:42:50,108"
train,0,neutral,"Hey, you ok?",Ross,neutral,15,8,9,23,"0:42:51,068","0:42:52,950"
train,2,sadness,I guess.,Charlie,negative,15,9,9,23,"0:42:52,950","0:42:55,208"
train,0,neutral,There was hum... there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,15,10,9,23,"00:42:57,866","00:43:05,915"
train,0,neutral,I started to realize that I was having feelings for someone else.,Charlie,neutral,15,11,9,23,"00:43:06,667","00:43:12,547"
train,0,neutral,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,neutral,15,12,9,23,"00:43:14,174","00:43:19,220"
train,0,neutral,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,neutral,15,13,9,23,"00:43:19,388","00:43:22,765"
train,0,neutral,"Yeah, can you guys just throw him in the pool later?",Charlie,neutral,15,14,9,23,"0:43:22,933","0:43:24,905"
train,1,joy,Or we could throw you both in,Professore Clerk,positive,15,15,9,23,"0:43:24,905","0:43:27,073"
train,3,anger,"Ok, gentlemen!",Ross,negative,15,16,9,23,"0:43:27,187","0:43:28,147"
train,3,anger,Please!,Ross,negative,15,17,9,23,"0:43:28,147","0:43:28,699"
train,3,anger,Aren't we a little old for this?,Ross,negative,15,18,9,23,"0:43:28,699","0:43:30,985"
train,0,neutral,"I mean, we're scientists, right?",Ross,neutral,15,19,9,23,"0:43:31,066","0:43:32,788"
train,3,anger,We're academics.,Ross,negative,15,20,9,23,"0:43:32,788","0:43:33,798"
train,1,joy,And most importantly I... you-you will have to catch us first.,Ross,positive,15,21,9,23,"00:43:33,902","00:43:37,780"
train,1,joy,"GO, GO, GO!",Ross,positive,15,22,9,23,"00:43:37,948","00:43:40,366"
train,1,joy,"Go, go, go!",Ross,positive,16,0,3,25,"00:04:41,197","00:04:42,239"
train,1,joy,"Oh yeah, now everybody wants to be under this hat!",Rachel,positive,16,1,3,25,"00:04:42,407","00:04:44,574"
train,6,disgust,Oy!!,Phoebe,negative,16,2,3,25,"00:04:49,455","00:04:50,747"
train,5,surprise,What’s with all this sand?,Monica,negative,16,3,3,25,"00:04:52,333","00:04:54,001"
train,0,neutral,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,16,4,3,25,"00:04:54,168","00:04:56,795"
train,0,neutral,"Yeah, either that, or he has a really big cat.",Ross,neutral,16,5,3,25,"00:04:57,005","00:04:59,214"
train,3,anger,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,negative,17,0,5,19,"00:06:15,416","00:06:19,127"
train,1,joy,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,positive,17,1,5,19,"00:06:21,506","00:06:25,542"
train,0,neutral,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,17,2,5,19,"00:06:25,551","00:06:29,012"
train,0,neutral,Rach? What are you doing?,Monica,neutral,17,3,5,19,"00:06:32,183","00:06:33,517"
train,4,fear,"Oh boy, I just can't watch. It's too scary!",Rachel,negative,17,4,5,19,"00:06:33,976","00:06:37,020"
train,0,neutral,It's a diaper commercial.,Monica,neutral,17,5,5,19,"00:06:37,480","00:06:39,731"
train,4,fear,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,negative,17,6,5,19,"00:06:40,817","00:06:43,735"
train,1,joy,Pizza delivery!,Caitlin,positive,17,7,5,19,"0:06:47,281","0:06:49,793"
train,1,joy,I'll get it! I will get that!,Ross,positive,17,8,5,19,"0:06:49,793","0:06:50,887"
train,1,joy,Hi!,Caitlin,positive,17,9,5,19,"0:06:53,538","0:06:54,665"
train,1,joy,Hi!,Ross,positive,17,10,5,19,"0:06:54,665","0:06:54,803"
train,0,neutral,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,neutral,18,0,5,21,"00:05:05,096","00:05:09,474"
train,0,neutral,"Uhh, the ball thing.",Joey,neutral,18,1,5,21,"0:05:09,642","0:05:11,603"
train,0,neutral,Yeah?,Ross,neutral,18,2,5,21,"0:05:11,603","0:05:12,542"
train,1,joy,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,positive,18,3,5,21,"00:05:14,022","00:05:19,109"
train,0,neutral,"Uhh,",Ross,neutral,18,4,5,21,"00:05:19,277","00:05:22,279"
train,1,joy,Okay!,Joey,positive,18,5,5,21,"00:05:23,489","00:05:24,990"
train,4,fear,Uh-oh.,Joey,negative,18,6,5,21,"0:05:28,578","0:05:29,670"
train,0,neutral,What?,Ross,neutral,18,7,5,21,"0:05:29,670","0:05:30,222"
train,2,sadness,I have to pee. And Rachel's in the bathroom!,Joey,negative,18,8,5,21,"00:05:30,330","00:05:34,166"
train,5,surprise,"Man, I didn't think we were gonna make it!",Joey,positive,18,9,5,21,"00:05:39,047","00:05:41,548"
train,4,fear,"I know! Don't switch hands, okay?",Ross,negative,18,10,5,21,"00:05:42,383","00:05:45,969"
train,0,neutral,Hey.,Joey,neutral,19,0,1,1,"0:10:11,861","0:10:14,990"
train,0,neutral,Hey!,Phoebe,neutral,19,1,1,1,"0:10:14,990","0:10:15,133"
train,0,neutral,How did it go with Erin?,Rachel,neutral,20,0,7,7,"00:10:56,155","00:10:59,157"
train,1,joy,"Oh, unbelievable! We had the best time!",Joey,positive,20,1,7,7,"00:10:59,408","00:11:01,368"
train,1,joy,"Yay!! Oh so, you’re not, you’re not mad at us anymore?",Phoebe,positive,20,2,7,7,"00:11:01,535","00:11:06,164"
train,1,joy,No!,Joey,positive,20,3,7,7,"0:11:02,703","0:11:03,538"
train,1,joy,No!,Joey,positive,20,4,7,7,"0:11:03,538","0:11:04,760"
train,1,joy,No!,Joey,positive,20,5,7,7,"0:11:04,760","0:11:05,303"
train,1,joy,You guys were totally right!,Joey,positive,20,6,7,7,"0:11:05,303","0:11:06,298"
train,1,joy,This is so much better than the first time we went out.,Joey,positive,20,7,7,7,"00:11:06,374","00:11:08,625"
train,0,neutral,Y’know?,Joey,neutral,20,8,7,7,"00:11:08,625","00:11:08,834"
train,0,neutral,"That was so awkward, we were really nervous.",Joey,neutral,20,9,7,7,"00:11:08,834","00:11:11,378"
train,0,neutral,Didn’t you sleep together?,Phoebe,neutral,20,10,7,7,"0:11:11,629","0:11:12,811"
train,0,neutral,"Yeah, that really calms me down.",Joey,neutral,20,11,7,7,"0:11:12,811","0:11:14,723"
train,1,joy,And!,Joey,positive,20,12,7,7,"0:11:16,801","0:11:18,595"
train,1,joy,We have so much in common!,Joey,positive,20,13,7,7,"0:11:18,595","0:11:18,734"
train,1,joy,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",Joey,positive,20,14,7,7,"00:11:18,928","00:11:31,356"
train,5,surprise,"Oh my God! Listen to you talkin’ about having kids. Oh my Joey. Oh, please don’t get married before I do.",Rachel,positive,20,15,7,7,"00:11:27,228","00:11:37,862"
train,0,neutral,Okay.,Joey,neutral,20,16,7,7,"00:11:41,742","00:11:43,493"
train,5,surprise,How does she do that?,Monica,negative,21,0,1,4,"00:01:49,275","00:01:51,485"
train,0,neutral,I cannot sleep in a public place.,Ross,neutral,21,1,1,4,"00:01:51,653","00:01:54,822"
train,1,joy,Would you look at her? She is so peaceful.,Monica,positive,21,2,1,4,"00:01:54,989","00:02:00,994"
train,5,surprise,Oh! What what what! ...Hi.,Phoebe,positive,21,3,1,4,"00:02:01,162","00:02:03,622"
train,0,neutral,"It's okay, y'know, you just nodded off again.",Ross,neutral,21,4,1,4,"00:02:03,790","00:02:05,958"
train,5,surprise,What's going on with you?,Monica,positive,21,5,1,4,"00:02:06,126","00:02:08,127"
train,3,anger,I got no sleep last night!,Phoebe,negative,21,6,1,4,"0:02:08,294","0:02:09,587"
train,0,neutral,Why?,Ross,neutral,21,7,1,4,"0:02:09,587","0:02:09,991"
train,6,disgust,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,negative,21,8,1,4,"00:02:10,088","00:02:17,177"
train,0,neutral,"Oh, and deaf.",Phoebe,neutral,21,9,1,4,"00:02:17,345","00:02:18,887"
train,0,neutral,"So they're constantly, like, having to reassure each other that they're having a good time.",Phoebe,neutral,21,10,1,4,"00:02:20,682","00:02:24,726"
train,6,disgust,You have no idea how loud they are!,Phoebe,negative,21,11,1,4,"00:02:24,894","00:02:26,937"
train,0,neutral,"Well, if you want, you can stay with Rachel and me tonight.",Monica,neutral,21,12,1,4,"0:02:29,023","0:02:30,900"
train,1,joy,Thanks.,Phoebe,positive,21,13,1,4,"0:02:30,900","0:02:32,175"
train,6,disgust,Ew! What is that? Something exploded!,Joey,negative,22,0,1,23,"00:09:00,248","00:09:03,667"
train,0,neutral,"It's just her water breaking. Calm down, will you?",Nurse,neutral,22,1,1,23,"00:09:03,834","00:09:06,169"
train,5,surprise,"Water breaking, what do you mean? What's that, water breaking?",Joey,negative,22,2,1,23,"00:09:06,337","00:09:09,714"
train,0,neutral,"Breathe, breathe, breathe.",Nurse,neutral,22,3,1,23,"00:09:09,882","00:09:13,510"
train,5,surprise,"Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.",Monica,negative,23,0,3,11,"00:10:13,321","00:10:19,909"
train,3,anger,Okay! You don’t think I thought of that?,Chandler,negative,23,1,3,11,"00:10:17,825","00:10:19,909"
train,5,surprise,How can you not know which one?,Phoebe,negative,23,2,3,11,"0:10:20,870","0:10:22,422"
train,1,joy,I mean that’s unbelievable.,Rachel,positive,23,3,3,11,"0:10:22,422","0:10:23,751"
train,0,neutral,"I mean, was it Gina?",Monica,neutral,23,4,3,11,"0:10:23,873","0:10:24,873"
train,0,neutral,Which one is Gina?,Ross,neutral,23,5,3,11,"0:10:24,873","0:10:25,937"
train,0,neutral,"Dark, big hair, with the airplane earrings.",Rachel,neutral,23,6,3,11,"00:10:26,042","00:10:28,209"
train,0,neutral,"No, no, no, that’s Dina.",Monica,neutral,23,7,3,11,"00:10:28,377","00:10:30,420"
train,5,surprise,"You see you can’t tell which one is which either, dwha!!",Chandler,negative,23,8,3,11,"00:10:30,588","00:10:44,809"
